x, y
4.63268e-05,4.63268e-05
-0.0997873,-0.0997873
-0.198624,-0.198624
-0.295476,-0.295476
-0.389376,-0.389376
-0.479385,-0.479385
-0.564604,-0.564604
-0.644182,-0.644182
-0.717324,-0.717324
-0.783298,-0.783298
-0.841446,-0.841446
-0.891186,-0.891186
-0.932022,-0.932022
-0.963546,-0.963546
-0.985442,-0.985442
-0.997492,-0.997492
-0.999575,-0.999575
-0.991671,-0.991671
-0.973858,-0.973858
-0.946315,-0.946315
-0.909317,-0.909317
-0.863233,-0.863233
-0.808524,-0.808524
-0.745736,-0.745736
-0.675497,-0.675497
-0.598509,-0.598509
-0.515541,-0.515541
-0.427422,-0.427422
-0.335032,-0.335032
-0.239294,-0.239294
-0.141166,-0.141166
-0.0416269,-0.0416269
0.0583279,0.0583279
0.1577,0.1577
0.255496,0.255496
0.35074,0.35074
0.442479,0.442479
0.529797,0.529797
0.611821,0.611821
0.687733,0.687733
0.756772,0.756772
0.81825,0.81825
0.871553,0.871553
0.916147,0.916147
0.951588,0.951588
0.97752,0.97752
0.993686,0.993686
0.999923,0.999923
0.996169,0.996169
0.982461,0.982461
0.958937,0.958937
0.925832,0.925832
0.883476,0.883476
0.832293,0.832293
0.772794,0.772794
0.705573,0.705573
0.631303,0.631303
0.550724,0.550724
0.464643,0.464643
0.37392,0.37392
0.27946,0.27946
0.182208,0.182208
0.0831356,0.0831356
-0.0167676,-0.0167676
-0.116503,-0.116503
-0.215075,-0.215075
-0.311497,-0.311497
-0.404808,-0.404808
-0.494073,-0.494073
-0.578402,-0.578402
-0.656952,-0.656952
-0.728937,-0.728937
-0.79364,-0.79364
-0.850412,-0.850412
-0.898688,-0.898688
-0.937984,-0.937984
-0.967908,-0.967908
-0.988161,-0.988161
-0.998541,-0.998541
-0.998943,-0.998943
-0.989365,-0.989365
-0.969901,-0.969901
-0.940746,-0.940746
-0.902192,-0.902192
-0.854623,-0.854623
-0.798515,-0.798515
-0.734429,-0.734429
-0.663004,-0.663004
-0.584955,-0.584955
-0.501061,-0.501061
-0.412161,-0.412161
-0.319142,-0.319142
-0.222935,-0.222935
-0.1245,-0.1245
-0.0248217,-0.0248217
0.0751049,0.0751049
0.174281,0.174281
0.271716,0.271716
0.366436,0.366436
0.457495,0.457495
0.543982,0.543982
0.625034,0.625034
0.699842,0.699842
0.767656,0.767656
0.8278,0.8278
0.879674,0.879674
0.922758,0.922758
0.956622,0.956622
0.980927,0.980927
0.995432,0.995432
0.99999,0.99999
0.994557,0.994557
0.979187,0.979187
0.954033,0.954033
0.919347,0.919347
0.875475,0.875475
0.822855,0.822855
0.762014,0.762014
0.693558,0.693558
0.618174,0.618174
0.536612,0.536612
0.449689,0.449689
0.358273,0.358273
0.263276,0.263276
0.16565,0.16565
0.0663681,0.0663681
-0.0335767,-0.0335767
-0.133186,-0.133186
-0.231465,-0.231465
-0.327431,-0.327431
-0.420125,-0.420125
-0.508622,-0.508622
-0.592036,-0.592036
-0.669535,-0.669535
-0.740345,-0.740345
-0.803757,-0.803757
-0.859138,-0.859138
-0.905935,-0.905935
-0.94368,-0.94368
-0.971997,-0.971997
-0.990601,-0.990601
-0.999308,-0.999308
-0.99803,-0.99803
-0.986779,-0.986779
-0.96567,-0.96567
-0.934911,-0.934911
-0.894812,-0.894812
-0.845772,-0.845772
-0.788281,-0.788281
-0.722913,-0.722913
-0.650323,-0.650323
-0.571235,-0.571235
-0.486439,-0.486439
-0.396783,-0.396783
-0.303163,-0.303163
-0.206513,-0.206513
-0.1078,-0.1078
-0.00800951,-0.00800951
0.0918607,0.0918607
0.190813,0.190813
0.287859,0.287859
0.382029,0.382029
0.472381,0.472381
0.558014,0.558014
0.638071,0.638071
0.711753,0.711753
0.778323,0.778323
0.837116,0.837116
0.887546,0.887546
0.929107,0.929107
0.961385,0.961385
0.984057,0.984057
0.996896,0.996896
0.999775,0.999775
0.992665,0.992665
0.975636,0.975636
0.948859,0.948859
0.912601,0.912601
0.867225,0.867225
0.813184,0.813184
0.751018,0.751018
0.681348,0.681348
0.60487,0.60487
0.522348,0.522348
0.434607,0.434607
0.342524,0.342524
0.247019,0.247019
0.149045,0.149045
0.0495819,0.0495819
-0.0503764,-0.0503764
-0.149831,-0.149831
-0.247789,-0.247789
-0.343271,-0.343271
-0.435324,-0.435324
-0.523026,-0.523026
-0.605503,-0.605503
-0.68193,-0.68193
-0.751543,-0.751543
-0.813647,-0.813647
-0.867621,-0.867621
-0.912926,-0.912926
-0.94911,-0.94911
-0.97581,-0.97581
-0.992761,-0.992761
-0.999792,-0.999792
-0.996833,-0.996833
-0.983915,-0.983915
-0.961166,-0.961166
-0.928812,-0.928812
-0.887179,-0.887179
-0.836681,-0.836681
-0.777823,-0.777823
-0.711194,-0.711194
-0.637458,-0.637458
-0.557354,-0.557354
-0.47168,-0.47168
-0.381293,-0.381293
-0.287097,-0.287097
-0.190032,-0.190032
-0.0910686,-0.0910686
0.00880498,0.00880498
0.108591,0.108591
0.207291,0.207291
0.30392,0.30392
0.397513,0.397513
0.487134,0.487134
0.571888,0.571888
0.650927,0.650927
0.723463,0.723463
0.78877,0.78877
0.846196,0.846196
0.895167,0.895167
0.935194,0.935194
0.965876,0.965876
0.986908,0.986908
0.998079,0.998079
0.999278,0.999278
0.990492,0.990492
0.971809,0.971809
0.943417,0.943417
0.905598,0.905598
0.858731,0.858731
0.803283,0.803283
0.73981,0.73981
0.668944,0.668944
0.591395,0.591395
0.507936,0.507936
0.419403,0.419403
0.326679,0.326679
0.230691,0.230691
0.132398,0.132398
0.0327817,0.0327817
-0.0671619,-0.0671619
-0.166434,-0.166434
-0.264044,-0.264044
-0.359015,-0.359015
-0.450399,-0.450399
-0.537283,-0.537283
-0.618799,-0.618799
-0.694131,-0.694131
-0.762528,-0.762528
-0.823307,-0.823307
-0.875859,-0.875859
-0.919659,-0.919659
-0.954271,-0.954271
-0.979348,-0.979348
-0.99464,-0.99464
-0.999994,-0.999994
-0.995356,-0.995356
-0.980772,-0.980772
-0.956389,-0.956389
-0.922451,-0.922451
-0.879295,-0.879295
-0.827354,-0.827354
-0.767146,-0.767146
-0.699273,-0.699273
-0.624413,-0.624413
-0.543315,-0.543315
-0.456787,-0.456787
-0.365696,-0.365696
-0.27095,-0.27095
-0.173498,-0.173498
-0.0743116,-0.0743116
0.025617,0.025617
0.12529,0.12529
0.22371,0.22371
0.319896,0.319896
0.412885,0.412885
0.501749,0.501749
0.5856,0.5856
0.663599,0.663599
0.734968,0.734968
0.798994,0.798994
0.855036,0.855036
0.902535,0.902535
0.941016,0.941016
0.970094,0.970094
0.98948,0.98948
0.99898,0.99898
0.998498,0.998498
0.988039,0.988039
0.967708,0.967708
0.937708,0.937708
0.898339,0.898339
0.849993,0.849993
0.793155,0.793155
0.728393,0.728393
0.656352,0.656352
0.577753,0.577753
0.493381,0.493381
0.40408,0.40408
0.310741,0.310741
0.214298,0.214298
0.115713,0.115713
0.0159722,0.0159722
-0.0839283,-0.0839283
-0.18299,-0.18299
-0.280224,-0.280224
-0.374657,-0.374657
-0.465347,-0.465347
-0.551388,-0.551388
-0.631919,-0.631919
-0.706137,-0.706137
-0.773299,-0.773299
-0.832734,-0.832734
-0.883849,-0.883849
-0.926133,-0.926133
-0.959163,-0.959163
-0.982609,-0.982609
-0.996238,-0.996238
-0.999912,-0.999912
-0.993596,-0.993596
-0.977352,-0.977352
-0.951343,-0.951343
-0.915828,-0.915828
-0.871163,-0.871163
-0.817793,-0.817793
-0.756252,-0.756252
-0.687155,-0.687155
-0.611192,-0.611192
-0.529122,-0.529122
-0.441765,-0.441765
-0.349995,-0.349995
-0.254727,-0.254727
-0.156914,-0.156914
-0.0575337,-0.0575337
0.0424217,0.0424217
0.141953,0.141953
0.240067,0.240067
0.335781,0.335781
0.428141,0.428141
0.516223,0.516223
0.599146,0.599146
0.676084,0.676084
0.746266,0.746266
0.808992,0.808992
0.863634,0.863634
0.909647,0.909647
0.946572,0.946572
0.974039,0.974039
0.991773,0.991773
0.999598,0.999598
0.997435,0.997435
0.985306,0.985306
0.963333,0.963333
0.931734,0.931734
0.890825,0.890825
0.841016,0.841016
0.782803,0.782803
0.716769,0.716769
0.643574,0.643574
0.563947,0.563947
0.478687,0.478687
0.388643,0.388643
0.294716,0.294716
0.197844,0.197844
0.0989958,0.0989958
-0.00084183,-0.00084183
-0.100671,-0.100671
-0.199494,-0.199494
-0.296324,-0.296324
-0.390194,-0.390194
-0.480164,-0.480164
-0.565337,-0.565337
-0.644861,-0.644861
-0.717942,-0.717942
-0.78385,-0.78385
-0.841926,-0.841926
-0.891589,-0.891589
-0.932344,-0.932344
-0.963783,-0.963783
-0.985592,-0.985592
-0.997554,-0.997554
-0.999549,-0.999549
-0.991556,-0.991556
-0.973656,-0.973656
-0.946028,-0.946028
-0.908947,-0.908947
-0.862784,-0.862784
-0.808001,-0.808001
